Nome,Dato1,Dato2,Dato3,...
693,-4A. Neff,40,-
694,-9N. Chappell,40,-
695,-15A. Garcian,40,-
696,-6C. Sinclair,40,-
697,6T. Baadi,40,-
698,-7M. Giunta,40,-
699,1M. Rivet,40,-
700,7W. Trongcharoenchaikul,40,-
701,-6D. Badenhorst,39,-
702,-6F. Gaio,39,-
703,-5L. Xiao,39,-
704,8T. Chanta,39,-
705,-6T. Huang,39,-
706,Y. Demin,39,-
707,-29G. Melzer,38,-
708,-6J. Story,38,-
709,66N. Ehrenschneider,38,-
710,-5A. Pedrico Kravtsov,38,-
711,24P. Saraiva Dos Santos,38,-
712,-19M. Steiner,38,-
713,-5M. Vankan,38,-
714,15T. McCormick,38,-
715,-6N. Kicker,37,-
716,5J. Nam,37,-
717,15Q. Vandecasteele,37,-
718,-32O. Kimhi,37,-
719,-3L. Falabella,37,-
720,-2D. Blanch,37,-
721,-2S. Perez Contri,37,1
722,-21F. Krajinovic,36,-
723,10E. Donnet,36,-
724,-10J. Rodriguez,36,-
725,-3F. Romano,36,-
726,-6A. Knaff,36,-
727,-3M. Zheng,35,-
728,-3K. Ozolins,35,-
729,-19P. Heller,35,-
730,-33L. Broady,35,-
731,-14L. Castagnola,35,-
732,-2T. Sandgren,34,-
733,99T. Zhang,34,-
734,-7S. Pieri,34,-
735,24W. Grant,34,-
736,13W. Leite,34,-
737,47N. Catini,34,-
738,L. Vithoontien,34,-
739,-11D. Fernandez Flores,34,-
740,-3Z. Tkemaladze,34,-
741,-1G. Young,33,-
742,-1O. Tarvet,33,-
743,-1E. Lavagno,33,-
744,-1N. Ly,33,-
745,-1F. Planinsek,33,-
746,-20M. Gorokhov,33,-
747,-2B. Pavel,33,-
748,44L. Castelnuovo,33,-
749,-3G. Dalmasso,33,-
750,-3F. Pieczonka,33,-
751,6I. Marrero Curbelo,33,-
752,29J. Sheehy,33,-
753,-65F. Zakaria,33,-
754,-4M. Ymer,32,-
755,108C. Vandermeersch,32,-
756,-1I. Chirita,32,-
757,7A. Rubio Fierros,32,-
758,-4A. Heinonen,32,-
759,-1A. Ganesan,32,-
760,-4T. Masabayashi,32,-
761,-22M. Ribecai,32,-
762,-1K. Montsi,31,-
763,-1M. Borisiouk,31,-
764,33G. Andreozzi,31,-
765,24D. Lee,31,-
766,29L. Rottoli,31,-
767,204R. Fishback,31,-
768,-2A. Klintcharov,31,-
769,-2A. Stater,31,-
770,-2A. Reco,31,-
771,11K. Wehnelt,31,-
772,-2L. Tessa,31,-
773,-4M. Dhamne,31,-
774,-3N. Ponwith,31,-
775,-39S. Andreescu,31,-
776,-3K. Bigun,30,-
777,-3M. Zekic,30,-
778,-26A. Hoang,30,-
779,-3V. Radjenovic,30,-
780,-3J. Watt,30,-
781,-2K. Bonsach Ganley,30,-
782,23D. Nunez,30,-
783,-18F. Rocha,30,-
784,-4S. Dev,30,-
785,D. Martin,30,-
786,H. Bernet,29,-
787,B. Rola,29,-
788,O. Baris,29,-
789,-78L. Saville,29,-
790,S. Vishwakarma,29,-
791,C. Aksu,29,-
792,-79G. Madarasz,29,-
793,M. Hulme,29,-
794,12C. Caniato,29,-
795,4C. Huertas del Pino,28,-
796,-24S. Jong,28,-
797,4O. Anderson,28,-
798,10S. Hazawa,28,-
799,-51F. Tabacco,28,-
800,3D. Paty,28,-
801,3M. Jones,28,-
802,-24D. Klok,28,-
803,9I. Parisca Romera,28,-
804,-8E. Clark,28,-
805,-82G. La Vela,28,1
806,1U. Blanch,27,-
807,-44D. Pichler,27,-
808,-55N. Zanellato,27,-
809,J. Filip,27,-
810,L. Wiedenmann,27,-
811,26P. Marinkov,27,-
812,-18J. Otegui,27,-
813,-2E. Wallart,27,-
814,P. Privara,26,-
815,19M. Alkaya,26,-
816,-14P. Buldorini,26,-
817,8B. Winter Lopez,26,-
818,-3P. Hjorth,26,-
819,-1S. D'Agostino,26,-
820,-1O. Otte,25,-
821,-1P. Basile,25,-
822,M. Hurrion,25,-
823,122J. Boulais,25,-
824,-7E. Philippov,25,-
825,88T. Curras Abasolo,25,-
826,-92S. Beaupain,25,-
827,11T. Martin,25,-
828,-1D. Cazacu,25,-
829,11M. Bertimon,25,-
830,-2S. Mansouri,24,-
831,-2J. Londero,24,-
832,343C. Hewitt,24,-
833,-3V. Pospisil,24,-
834,-3M. Mazza,24,-
835,-2P. Sornlaksup,24,-
836,57M. Turker,24,-
837,20M. Donald,24,-
838,4L. Bocchi,23,-
839,4A. Bernard,23,-
840,4J. Anthrop,23,-
841,4F. Balshaw,23,-
842,5L. Alvarez,23,-
843,5R. Tokuda,23,-
844,43M. Van Der Meerschen,23,-
845,33N. Honda,23,-
846,-11F. Ferrari,23,-
847,4S. Markovic,23,-
848,4S. Rawat,23,-
849,5C. Altamirano,23,-
850,3D. Marques,23,-
851,-12G. Noce,23,-
852,81K. Tamm,23,-
853,6D. Suresh,22,-
854,-8N. Milojevic,22,-
855,5M. Mrva,22,-
856,5P. Brady,22,-
857,5V. Lilov,22,-
858,18K. Lee,22,-
859,-46I. Xilas,22,-
860,62T. Stice,22,-
861,-12G. Kravchenko,22,-
862,-12M. Rottgering,22,-
863,47P. Brunclik,22,-
864,-40J. Aguilar Cardozo,22,-
865,-1Y. Kikuchi,22,-
866,-1M. Summers,22,-
867,-1I. Beloborodko,22,-
868,L. Poertner,22,-
869,-13J. Szajrych,22,-
870,-87M. Pawelski,22,-
871,27S. Andre,22,-
872,-1P. Marino,22,-
873,-1M. Marinescu,22,-
874,-16G. Lomakin,22,-
875,-2J. Hara Friend,21,-
876,-2M. Homberg,21,-
877,-2A. Kotzen,21,-
878,-1K. Maamoun,21,-
879,-56E. Furness,21,-
880,205S. De La Fuente,21,-
881,242A. Gobat,21,-
882,-3N. Mashtakov,21,-
883,-3A. Raynel,21,-
884,-2S. Eriksson,21,-
885,-4S. Tang,21,-
886,-31V. Dancu,21,-
887,9J. Simundza,21,-
888,44J. Osorio,21,-
889,-63A. Aubriot,21,-
890,-20N. Perfetti,21,-
891,-50S. Ivanov,21,-
892,207N. Kyrgios,20,-
893,-9I. Nedelko,20,-
894,-9Y. Chung,20,-
895,-9I. Strode,20,-
896,-7J. Flores,20,-
897,-9A. Magadan,20,-
898,-8D. Ostapenkov,20,-
899,-7P. Delage,20,-
